0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,percentage_closed_lane,percentage_opened_lane,dow,hour,mins,position,direction,duration_level
66,68,68,63,71,68,69,71,71,73,70,68,68,71,73,72,71,71,70,71,71,69,68,71,73,68,68,68,68,69,68,70,69,67,71,67,68,67,67,69,71,71,70,68,65,64,65,70,25,75,Sunday,8,20,AT,NORTHBOUND,0
67,70,70,67,69,66,66,69,72,73,73,69,68,74,74,72,71,71,69,66,67,69,73,71,69,71,68,65,68,66,70,71,68,73,67,68,67,68,69,68,67,68,68,67,65,63,66,68,0,100,Sunday,8,20,0,NORTHBOUND,0
69,71,72,69,70,72,70,73,72,73,67,68,69,76,74,73,74,73,73,71,70,71,72,74,71,73,69,67,68,71,75,72,66,72,72,71,71,72,72,68,69,71,70,71,70,69,70,70,0,100,Sunday,8,20,0,NORTHBOUND,0
67,69,68,68,65,65,73,69,67,67,66,65,65,65,65,64,63,63,68,70,68,65,67,75,75,75,75,67,66,69,71,69,70,70,66,65,70,71,68,69,67,68,71,71,69,70,69,68,17,83,Monday,6,55,PAST,NORTHBOUND,0
68,70,67,68,75,63,69,65,65,66,67,67,67,67,67,64,63,68,71,68,66,65,67,76,76,76,71,69,73,69,71,68,67,66,67,69,71,70,68,67,70,71,69,69,70,68,69,70,0,100,Monday,6,55,0,NORTHBOUND,0
72,72,68,66,74,69,72,70,68,68,69,70,70,68,67,66,65,68,72,71,68,67,68,78,78,78,65,68,74,72,69,72,74,71,70,70,77,73,72,70,71,70,72,73,71,69,72,74,0,100,Monday,6,55,0,NORTHBOUND,0
70,67,68,76,70,71,64,66,67,69,70,70,70,66,66,67,67,71,72,69,69,70,66,59,61,59,63,67,63,58,59,58,62,63,65,67,67,67,66,65,69,70,66,66,63,68,67,66,0,100,Tuesday,8,5,PAST,NORTHBOUND,1
73,66,68,76,70,76,63,68,66,67,70,67,65,68,69,68,66,73,74,68,66,66,65,57,63,62,65,64,62,58,59,62,63,65,65,65,65,65,67,70,68,68,63,67,64,67,67,66,0,100,Tuesday,8,5,0,NORTHBOUND,1
74,67,67,68,72,79,73,68,67,69,72,70,68,69,70,70,71,75,75,70,64,62,68,62,69,64,68,67,66,62,58,64,66,68,68,67,69,69,70,71,69,70,69,69,69,67,66,67,0,100,Tuesday,8,5,0,NORTHBOUND,1
68,67,65,65,65,68,71,70,72,69,68,69,67,65,66,66,66,66,65,67,69,67,64,66,67,68,72,71,70,67,66,67,67,66,66,66,63,65,67,70,68,66,67,67,71,71,70,72,50,50,Wednesday,5,35,AT,NORTHBOUND,1
68,66,64,66,67,68,70,70,77,71,69,70,70,66,64,66,66,65,65,68,69,66,62,65,67,67,69,71,70,67,67,67,67,66,67,67,64,67,71,70,69,66,64,67,70,72,72,73,0,100,Wednesday,5,35,0,NORTHBOUND,1
69,67,66,70,73,68,67,72,75,72,71,71,70,68,66,66,67,68,67,69,70,68,68,69,69,70,73,72,72,68,72,71,69,69,70,69,67,70,73,72,73,70,67,68,69,70,74,74,0,100,Wednesday,5,35,0,NORTHBOUND,1
71,67,67,68,68,71,71,67,70,68,68,68,66,62,70,70,68,65,65,65,68,67,64,71,68,68,66,67,68,70,69,70,68,66,68,69,70,73,67,68,73,72,70,69,67,64,67,71,0,100,Tuesday,7,0,AT,NORTHBOUND,0
69,63,64,64,64,68,70,66,69,68,68,68,65,61,68,69,68,66,68,70,69,70,71,70,67,68,68,68,69,70,69,71,68,66,70,72,69,70,69,71,74,70,68,69,69,67,69,73,0,100,Tuesday,7,0,0,NORTHBOUND,0
