0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,percentage_closed_lane,percentage_opened_lane,dow,hour,mins,position,direction,duration_level

66,65,63,66,65,65,66,69,67,69,67,68,66,69,65,63,64,65,68,65,66,64,67,68,69,67,95,66,66,71,66,64,66,68,68,69,69,66,64,63,66,63,69,64,64,65,64,65,25,75,Monday,2,10,AT,NORTHBOUND,2
67,66,68,68,65,66,66,67,65,66,67,65,65,67,65,65,64,65,68,66,68,64,67,68,69,67,71,70,71,71,66,70,72,67,68,70,69,66,68,70,69,65,67,70,65,65,66,66,0,100,Monday,15,35,AT,SOUTHBOUND,2
65,64,64,64,67,67,67,67,65,65,67,65,66,67,65,68,64,65,68,66,68,64,67,67,67,66,66,66,66,68,66,67,66,67,64,64,69,68,65,68,66,67,67,68,65,66,64,65,0,100,Monday,15,35,0,SOUTHBOUND,2
60,61,60,58,64,59,61,61,61,62,41,59,58,62,62,61,64,61,62,60,61,62,63,62,61,63,61,60,62,65,68,67,61,63,64,63,61,61,62,69,67,64,59,62,62,62,62,62,0,100,Monday,15,50,0,EASTBOUND,2
63,61,63,61,66,62,61,61,62,66,59,61,62,62,65,63,58,63,64,59,64,69,65,64,67,66,66,61,65,63,68,65,63,63,66,66,63,65,67,67,67,67,65,62,59,63,66,66,0,100,Monday,15,15,0,EASTBOUND,2
68,68,69,70,72,66,68,68,66,68,70,69,68,68,68,65,65,68,67,68,68,68,69,69,68,68,69,69,66,67,68,67,67,67,67,68,67,66,68,68,71,68,64,68,67,68,68,66,0,100,Monday,15,15,0,EASTBOUND,2

68,71,68,66,66,67,66,67,67,66,68,68,67,68,68,70,70,69,68,68,68,68,72,69,68,68,71,70,74,69,69,70,68,68,68,71,69,72,69,67,70,71,69,69,69,71,69,67,25,75,Wednesday,7,20,AT,NORTHBOUND,0
68,69,71,70,70,67,66,67,72,70,70,69,69,68,68,69,71,71,70,70,72,71,70,71,69,72,70,73,71,71,72,71,72,73,71,71,71,69,70,70,70,70,68,71,70,71,73,73,0,100,Wednesday,7,20,0,NORTHBOUND,0
